rank	composition_mean_normalized_influence	shortcut_mean_normalized_influence
133	4249.273173	3552.710156
134	4244.817088	3550.814507
135	4242.68987	3544.131222
136	4239.518675	3537.270463
137	4237.091975	3528.058764
138	4236.12086	3527.680089
139	4234.927935	3525.371832
140	4215.727564	3494.991022
141	4213.404838	3491.930764
142	4200.445354	3486.072014
143	4166.051946	3482.441392
144	4160.015962	3477.58045
145	4157.650838	3475.786737
146	4155.160382	3473.982276
147	4152.16306	3441.329947
148	4120.475323	3428.963296
149	4109.852081	3426.434683
150	4097.025468	3426.246789
151	4076.445917	3409.645823
152	4065.286185	3375.375556
153	4065.148784	3371.114278
154	4062.392219	3365.206703
155	4061.18261	3362.454781
156	4057.954552	3362.420449
157	4057.173532	3354.061829
158	4052.682118	3348.575881
159	4052.385253	3348.001499
160	4051.297907	3339.277705
161	4045.344376	3304.549395
162	4040.547661	3301.168723
163	4039.690894	3300.973612
164	4025.979071	3281.22971
165	4015.401519	3267.365455
166	4010.067193	3257.192181
167	4009.034615	3255.927866
168	3993.905175	3250.129809
169	3990.47945	3249.582226
170	3990.340871	3247.417511
171	3972.91534	3242.375221
172	3959.419697	3242.168964
173	3959.069683	3231.955118
174	3956.496917	3231.500108
175	3954.210342	3231.196741
176	3915.695247	3211.917921
177	3911.903927	3207.651281
178	3905.88522	3207.509969
179	3904.878108	3182.67855
180	3899.365648	3170.67371
181	3897.473947	3158.923018
182	3896.199867	3151.337058
183	3882.260907	3150.953609
184	3879.711522	3139.12636
185	3878.678229	3129.825581
186	3871.697958	3129.303482
187	3864.68619	3129.010531
188	3850.522901	3121.637049
189	3849.40212	3118.274098
190	3847.420601	3117.651013
191	3846.762128	3110.778969
192	3842.004832	3104.88218
193	3841.426701	3103.616498
194	3838.675763	3087.361799
195	3830.171364	3081.690886
196	3822.452613	3079.110377
197	3821.408899	3077.629764
198	3816.740855	3076.654138
199	3812.797019	3059.895724
200	3809.548928	3055.994212
201	3807.809054	3049.674302
202	3804.616302	3038.777133
203	3797.16593	3026.581746
204	3792.295263	3025.440886
205	3787.899279	3022.871236
206	3787.55017	3009.660671
207	3786.559022	2998.241259
208	3785.442518	2988.580036
209	3781.808854	2969.028288
210	3780.482766	2965.239796
211	3779.936889	2951.13287
212	3774.842545	2943.840937
213	3771.726806	2943.131014
214	3761.545703	2939.550245
215	3759.154504	2937.429095
216	3755.808423	2929.569259
217	3753.882035	2924.758303
218	3751.865688	2924.130011
219	3747.694818	2923.681803
220	3728.020094	2921.858968
221	3722.089816	2915.757573
222	3716.191009	2912.703567
223	3714.722388	2906.913965
224	3703.479339	2903.238739
225	3700.282023	2902.021218
226	3687.568992	2898.704128
227	3684.652209	2897.51087
228	3679.205597	2890.220671
229	3673.969235	2885.548456
230	3673.531446	2882.805325
231	3666.498503	2879.154954
232	3656.243281	2878.613299
233	3650.513224	2877.688882
234	3642.002537	2877.043246
235	3638.191139	2875.726748
236	3637.560158	2871.385303
237	3635.089337	2868.983478
238	3630.301067	2867.56306
239	3624.60986	2865.296821
240	3619.788228	2859.673196
241	3619.39875	2859.519038
242	3609.958975	2855.994397
243	3601.208981	2847.198588
244	3601.118502	2847.153723
245	3583.84595	2845.68105
246	3561.767586	2842.746545
247	3560.088474	2838.82631
248	3558.640856	2836.187067
249	3553.093712	2832.026772
250	3549.264456	2829.999899
251	3542.683245	2822.113556
252	3533.057422	2821.090191
253	3532.488956	2820.242785
254	3532.169389	2817.805993
255	3530.158159	2817.667388
256	3529.173042	2811.272747
257	3526.437918	2811.267511
258	3518.980304	2808.331707
259	3518.161166	2804.071523
260	3512.923112	2801.94167
261	3512.829467	2795.665623
262	3511.059729	2795.64755
263	3507.39175	2791.613192
264	3501.798084	2790.708413
265	3501.632921	2790.531583
266	3499.332318	2787.412408
267	3495.993184	2786.809945
268	3482.944717	2786.204836
269	3476.285223	2782.783197
270	3474.230668	2782.127859
271	3474.191238	2781.132271
272	3468.346272	2780.944699
273	3467.012771	2776.18806
274	3458.289991	2773.483457
275	3457.040563	2770.463526
276	3456.061196	2768.546409
277	3442.350459	2767.450089
278	3438.010933	2766.446193
279	3436.169384	2765.838992
280	3430.006948	2765.282281
281	3429.952321	2760.768483
282	3426.200418	2760.350993
283	3422.263699	2760.320112
284	3420.937878	2753.068304
285	3417.57118	2739.807111
286	3414.9251	2738.486466
287	3412.062995	2737.380727
288	3411.455738	2736.41474
289	3410.100199	2733.392139
290	3409.306939	2732.382767
291	3406.01931	2731.776292
292	3401.894662	2728.889138
293	3397.313306	2723.827444
294	3388.146608	2722.685563
295	3388.041527	2721.032803
296	3385.375738	2719.452455
297	3384.627001	2715.886795
298	3382.12606	2713.923992
299	3381.931442	2705.647482
300	3381.450041	2702.147539
301	3379.277184	2699.897935
302	3378.698737	2698.053128
303	3371.505961	2689.116636
304	3368.368793	2682.488643
305	3363.540869	2679.048202
306	3357.8966	2678.877112
307	3338.508626	2673.196335
308	3331.984601	2671.2725
309	3301.87642	2667.3854
310	3292.62341	2666.356908
311	3283.747889	2662.533574
312	3280.003533	2661.825029
313	3270.956766	2659.649442
314	3269.125496	2656.551402
315	3267.407771	2655.769132
316	3267.343055	2654.897455
317	3265.384665	2652.686113
318	3265.007814	2652.599101
319	3250.41658	2651.524367
320	3249.140334	2650.195768
321	3245.686244	2649.98225
322	3245.16201	2649.692491
323	3242.916381	2646.631041
324	3232.697131	2646.602964
325	3231.6324	2645.976083
326	3230.79963	2641.423388
327	3230.735004	2637.851328
